What is 2 + 2?,3,4,5,6,4
What is 5 * 3?,10,12,15,18,15
What is the square root of 9?,2,3,4,5,3
Who invented calculus?,Newton,Leibniz,Euler,Gauss,Newton
What is the largest prime number under 10?,7,9,5,3,7
If a triangle has angles 30 and 60 degrees, what is the third angle in degrees?,90,180,45,120,90
What is the value of Pi (to two decimal places)?,3.12,3.14,3.16,3.18,3.14
How many sides does a hexagon have?,5,6,7,8,6
What is 10 divided by 2?,2,5,10,20,5
What is 7 minus 3?,3,4,5,6,4
If x = 5, what is 2x + 3?,10,13,15,18,13
What is the perimeter of a square with side length 4?,4,8,16,12,16
