"करनाल जिले का गठन कब हुआ था?", "1 नवंबर, 1966", "21 फरवरी, 2017", "1806", "1954", "1 नवंबर, 1966"
"करनाल जिले का क्षेत्रफल कितना है?", "1505324 वर्ग कि.मी.", "2520 वर्ग कि.मी.", "597 वर्ग कि.मी.", "18.14 वर्ग कि.मी.", "2520 वर्ग कि.मी."
"करनाल जिले का जनसंख्या घनत्व कितना है?", "597 व्यक्ति प्रति कि.मी.", "887 व्यक्ति प्रति कि.मी.", "74.73 व्यक्ति प्रति कि.मी.", "1505324 व्यक्ति प्रति कि.मी.", "597 व्यक्ति प्रति कि.मी."
"करनाल जिले का लिंगानुपात कितना है?", "887", "820", "74.73", "597", "887"
"करनाल जिले की साक्षरता दर क्या है?", "74.73%", "18.14%", "887%", "820%", "74.73%"
"करनाल जिले को किस उपनाम से जाना जाता है?", "धान का कटोरा", "कर्णनगरी", "हरियाणा का पेरिस", "उपरोक्त सभी", "उपरोक्त सभी"
"महाराणा प्रताप बागवानी विश्वविद्यालय करनाल के किस गांव में स्थापित किया गया है?", "गोंदर", "बहलोलपुर", "अंजनस्थली", "सालवन", "अंजनस्थली"
"हरियाणा का प्रथम सैनिक स्कूल करनाल में कहाँ स्थापित किया गया था?", "नीलोखेड़ी", "कुंजपुरा", "मधुबन", "घरौंडा", "कुंजपुरा"
"खरोष्टी लिपि में अंकित अभिलेख करनाल में कहाँ से मिला है?", "तराईन", "मधुबन", "करनाल", "कुंजपुरा", "करनाल"
"राष्ट्रीय डेयरी अनुसंधान संस्थान करनाल में कब स्थापित किया गया था?", "1923", "1955", "1969", "1978", "1955"
"केंद्रीय मिट्टी लवणता अनुसंधान संस्थान करनाल में कब स्थापित किया गया था?", "1955", "1969", "1976", "1984", "1969"
"फोरेंसिक विज्ञान प्रयोगशाला (FSL) करनाल में कहाँ स्थित है?", "नीलोखेड़ी", "घरौंडा", "मधुबन", "असंध", "मधुबन"
"तराईन का प्रथम युद्ध किसके बीच हुआ था?", "पृथ्वीराज चौहान और मोहम्मद गौरी", "इल्तुतमिश और ताजुद्दीन ऐबक", "नादिरशाह और मोहम्मद शाह", "राजा गजपत सिंह और बलबन", "पृथ्वीराज चौहान और मोहम्मद गौरी"
"तराईन का द्वितीय युद्ध कब हुआ था?", "1191", "1192", "1215", "1739", "1192"
"तराईन का तृतीय युद्ध किसके बीच हुआ था?", "पृथ्वीराज चौहान और मोहम्मद गौरी", "इल्तुतमिश और ताजुद्दीन ऐबक", "नादिरशाह और मोहम्मद शाह", "राजा गजपत सिंह और बलबन", "इल्तुतमिश और ताजुद्दीन ऐबक"
"कल्पना चावला का जन्म करनाल में कब हुआ था?", "1 जुलाई, 1961", "16 जनवरी, 2003", "1 फरवरी, 2003", "1994", "1 जुलाई, 1961"
"कल्पना चावला मेडिकल कॉलेज करनाल के किस गांव में स्थापित किया गया है?", "कुटेल", "नीलोखेड़ी", "मधुबन", "असंध", "कुटेल"
"हरियाणा का कौन सा जिला ऑनलाइन जमाबंदी करने वाला प्रथम जिला है?", "पानीपत", "रोहतक", "कुरुक्षेत्र", "करनाल", "करनाल"
"गोवर्धन योजना की शुरुआत करनाल में कहाँ से हुई थी?", "मधुबन", "कुंजपुरा", "घरौंडा", "असंध", "कुंजपुरा"
"हरियाणा का चंदन वृक्ष किसे कहा जाता है?", "ढाक", "जांटी (खेजड़ी)", "आम", "नीम", "जांटी (खेजड़ी)"
"राज्य का प्रथम लाल डोरा रहित गांव कौन सा है?", "उड़ाना", "सिरसी", "कोहांड", "दुबड़ी", "सिरसी"
"राष्ट्रीय पशु आनुवांशिकी संस्थान करनाल में कब स्थापित किया गया था?", "1969", "1978", "1984", "1991", "1984"
"कर्ण स्टेडियम करनाल में कहाँ स्थित है?", "करनाल", "असंध", "इंद्री", "नीलोखेड़ी", "करनाल"
"नवाब नजाकत खां की राजधानी कहाँ थी?", "तराईन", "मधुबन", "करनाल", "घरौंडा", "करनाल"
"सेंट जेम्स चर्च टॉवर करनाल में कब निर्मित हुआ था?", "1841", "1806", "1906", "1925", "1806"
"राष्ट्रीय गौरव पुरस्कार प्राप्त प्रथम पंचायत करनाल के किस गांव की है?", "सिरसी", "दुबड़ी", "उड़ाना", "कोहांड", "दुबड़ी"
"गूगल बॉय कौटिल्य पंडित का जन्म स्थान करनाल में कहाँ है?", "कोहांड", "सिरसी", "उड़ाना", "दुबड़ी", "कोहांड"
"सबसे पुराना मुगलकालीन पुल करनाल में कहाँ है?", "बादशाही पुल", "पृथ्वीराज चौहान का किला", "जरासंध का किला", "किशोरी महल", "बादशाही पुल"
"हरियाणा की प्रशासनिक राजधानी क्या कहलाती है?", "करनाल", "नीलोखेड़ी", "मधुबन", "घरौंडा", "नीलोखेड़ी"
"चमनलाल सेतिया एक्सपोर्ट करनाल में किस लिए प्रसिद्ध है?", "सब्जियों का निर्यात", "चावल का निर्यात", "आलू का निर्यात", "दूध का निर्यात", "चावल का निर्यात"
